estrategia,intervalo,procesos,ram,cpus,quantum_instr,promedio,desviacion
A_RAM_200,10,25,200,1,3,2.2810109694332414,1.1036195092079235
A_RAM_200,10,50,200,1,3,2.4859192794891136,1.27825994571445
A_RAM_200,10,100,200,1,3,2.8060415695186367,1.831676912990473
A_RAM_200,10,150,200,1,3,3.0368723594921896,2.051782883867562
A_RAM_200,10,200,200,1,3,2.7309134561746164,1.6279588500359043
A_RAM_200,5,25,200,1,3,3.426125370642434,2.1115375072163203
A_RAM_200,5,50,200,1,3,3.6195973535791923,2.494983603433158
A_RAM_200,5,100,200,1,3,4.353668892257163,3.4455196328866022
A_RAM_200,5,150,200,1,3,3.704043220347038,2.41014618960209
A_RAM_200,5,200,200,1,3,3.8493249221237007,3.1627758049476573
A_RAM_200,1,25,200,1,3,19.27048994977719,11.809450037339527
A_RAM_200,1,50,200,1,3,45.89195508769503,26.57057258320504
A_RAM_200,1,100,200,1,3,92.58810357561073,44.173283535037065
A_RAM_200,1,150,200,1,3,107.78062463265255,50.305910087280914
A_RAM_200,1,200,200,1,3,142.99879510943654,73.25038834235693
B_CPU_rapido_Q6,10,25,100,1,6,1.4616273963297044,0.6443615652963459
B_CPU_rapido_Q6,10,50,100,1,6,1.577686923693576,0.7205259626881381
B_CPU_rapido_Q6,10,100,100,1,6,1.5682649623871103,0.6460124143493773
B_CPU_rapido_Q6,10,150,100,1,6,1.507610915539797,0.7956498854502454
B_CPU_rapido_Q6,10,200,100,1,6,1.6505684080110445,0.8358997093393093
B_CPU_rapido_Q6,5,25,100,1,6,1.3448904621493734,0.5385206965552546
B_CPU_rapido_Q6,5,50,100,1,6,1.769789495679837,0.8439078842706618
B_CPU_rapido_Q6,5,100,100,1,6,2.054026004488543,1.2153121976253838
B_CPU_rapido_Q6,5,150,100,1,6,1.8437536142792592,0.9399679977660224
B_CPU_rapido_Q6,5,200,100,1,6,1.7869531123316773,1.091297401287692
B_CPU_rapido_Q6,1,25,100,1,6,9.214455456345839,5.0438937515489135
B_CPU_rapido_Q6,1,50,100,1,6,12.74043413378142,8.37631062114089
B_CPU_rapido_Q6,1,100,100,1,6,21.526353485886915,11.976150418802492
B_CPU_rapido_Q6,1,150,100,1,6,36.47259506230131,15.63169350466781
B_CPU_rapido_Q6,1,200,100,1,6,52.36910634148333,29.453137804076068
C_2_CPUs,10,25,100,2,3,2.24,1.0519822558706333
C_2_CPUs,10,50,100,2,3,2.18492441168972,1.038624792353863
C_2_CPUs,10,100,100,2,3,2.271790548369095,1.146221335716091
C_2_CPUs,10,150,100,2,3,2.3154977739493354,1.1334599247166723
C_2_CPUs,10,200,100,2,3,2.320931395556147,1.1209803018875462
C_2_CPUs,5,25,100,2,3,2.470007098716856,1.0481151173765126
C_2_CPUs,5,50,100,2,3,2.3,1.0151907431108496
C_2_CPUs,5,100,100,2,3,2.486133196890211,1.08183838706936
C_2_CPUs,5,150,100,2,3,2.3147774348252916,1.109958266831276
C_2_CPUs,5,200,100,2,3,2.2871726385652216,1.1196284285540024
C_2_CPUs,1,25,100,2,3,6.4533420395781205,2.9673334475406956
C_2_CPUs,1,50,100,2,3,11.933662084857492,7.351402874723502
C_2_CPUs,1,100,100,2,3,7.508765361431622,4.291437590218434
C_2_CPUs,1,150,100,2,3,7.406439162098184,5.197085221487427
C_2_CPUs,1,200,100,2,3,26.055554997567214,17.91868624849194
